A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	1	0	#	1	0.030938747502499	0.499	3	186.5750480501678	3979	0	0.3333333333333333	27234.807749477564	499	1000
0	#	0	1	0	1	0	0.03125	0.5	1	210.93493401563134	3969	1	0.8333333333333334	3387.1112414251456	63	126
#	#	0	0	#	0	0	0.510718892054761	0.874251497005988	5	214.02346026364086	3999	2	0.5	1058.8966266477555	438	501
1	0	1	0	#	0	0	0.03125	0.5	2	178.08807333038243	3591	7	0.8333333333333334	11438.676442212905	63	126
1	#	#	1	0	#	0	0.23969203936830372	0.751503006012024	4	187.56855503550392	3958	12	0.5	750.2742201420157	375	499
#	0	#	0	1	#	1	0.24127822080259828	0.7524950099800399	11	178.87600466817227	3998	13	0.5	45014.27969779822	377	501
#	0	#	#	#	#	1	0.031328478112137625	0.5002508780732564	5	186.36781651000314	3998	14	0.16666666666666666	70783.09063146503	997	1993
#	#	0	#	#	#	0	0.0952718156149908	0.6248746238716149	6	202.36904507553726	3999	16	0.16666666666666666	37450.27555087699	1246	1994
0	#	#	#	1	#	1	0.03156501761318497	0.501004016064257	2	170.41012843617426	3981	17	0.3333333333333333	10836.282776541479	499	996
#	1	#	#	#	1	1	0.23572054972519474	0.748995983935743	17	190.60997575472237	3979	22	0.3333333333333333	117267.31840601626	746	996
#	#	#	#	0	#	1	0.0073846598841881324	0.3746848209783157	1	197.15977250300395	3979	32	0.16666666666666666	12925.733510555863	743	1983
#	1	1	0	0	#	0	0.23570775731912577	0.7489878542510121	3	166.36004268441033	3955	41	0.6666666666666666	499.08012805323096	185	247
1	#	#	#	1	1	1	1.0	1.0	34	196.02969520873654	3998	45	0.5	113713.14450392072	493	493
#	#	#	#	0	1	1	0.030621247934711642	0.49797160243407707	4	192.2099388496798	3979	52	0.3333333333333333	50396.909828512515	491	986
1	#	#	1	#	0	0	0.24053767370789134	0.7520325203252033	12	175.67932975682157	3984	57	0.5	52775.337819366534	370	492
0	#	#	0	#	0	0	0.23570775731912577	0.7489878542510121	3	173.96233793505718	3999	63	0.5	485.1087672564645	370	494
1	0	1	0	#	0	1	0.03254114951385067	0.5040650406504065	1	178.0880733303866	3858	71	0.8333333333333334	2746.204760429672	62	123
0	1	#	#	#	#	1	0.030930473033890453	0.4989733059548255	3	185.06431321535047	3979	103	0.3333333333333333	27021.508973962653	486	974
#	#	#	#	1	1	1	0.23608774295150023	0.7492291880781089	6	182.79793854969398	3998	103	0.3333333333333333	13987.21739095687	729	973
#	#	#	1	#	#	1	0.09453165664698511	0.6239006725297465	3	181.5984653897098	3979	128	0.16666666666666666	8675.777094100991	1206	1933
#	1	#	#	0	1	1	0.2364869602026655	0.7494824016563147	3	187.2181304097605	3979	128	0.5	561.6543912292815	362	483
#	#	0	1	0	#	0	0.09556504332507734	0.6252587991718427	3	203.33686968774583	3969	129	0.5	9609.273452006122	302	483
0	#	0	#	#	1	0	0.23405398749273643	0.7479338842975206	7	201.46093580949133	3969	129	0.5	21164.19980984281	362	484
1	#	#	0	0	1	0	0.03190374303770491	0.5020746887966805	1	178.92714177491314	3971	131	0.6666666666666666	11257.07468845546	121	241
1	0	1	1	0	1	1	0.0	0.0	1	150.2713595175199	133	133	1.0	7540.62226376394	0	60
